21:08:17.096 > ets Jun  8 2016 00:22:57
21:08:17.096 > [   557][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   563][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   569][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   574][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   580][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   585][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   591][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   597][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   603][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   608][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   614][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   619][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   625][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   631][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   637][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   642][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   648][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   653][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   659][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   665][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   671][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   676][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   682][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   687][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   693][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   699][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   705][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   710][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   716][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   721][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   727][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   733][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   739][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   744][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   750][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   755][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   761][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   767][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   773][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   778][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   784][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   789][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   795][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   800][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   806][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   812][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   818][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   823][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   829][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   835][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   841][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   846][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   852][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   857][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   863][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   868][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   874][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   880][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   886][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   891][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   897][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   902][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   909][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   914][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   920][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   925][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   931][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   936][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   942][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   948][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   954][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   959][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   965][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   970][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   977][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   982][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   988][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   993][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   999][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [  1004][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [  1010][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [  1016][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [  1022][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [  1027][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [  1033][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [  1038][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [  1045][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [  1050][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [  1056][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [  1061][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [  1067][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [  1072][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [  1078][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.116 > [  1084][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.116 > [  1090][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.116 > [  1095][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.116 > [  1101][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.121 > [  1106][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.126 > [  1113][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.132 > [  1118][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.138 > [  1124][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.143 > [  1129][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.148 > [  1135][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.155 > [  1140][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.160 > [  1146][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.165 > [  1152][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.171 > [  1158][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.176 > [  1163][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.182 > [  1169][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.187 > [  1174][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.193 > [  1181][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.198 > [  1186][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.205 > [  1192][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.210 > [  1197][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.215 > [  1203][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.222 > [  1208][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.226 > [  1214][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.232 > [  1220][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.243 > [  1226][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.243 > [  1231][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.254 > [  1237][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.260 > [  1242][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.266 > [  1248][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.271 > [  1254][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.276 > [  1260][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.283 > [  1265][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.288 > [  1271][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.293 > [  1276][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.299 > [  1282][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.304 > [  1288][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.310 > [  1294][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.315 > [  1299][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.321 > [  1305][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.326 > [  1310][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.332 > [  1316][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.337 > [  1322][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.343 > [  1328][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.349 > [  1333][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.355 > [  1339][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.360 > [  1344][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.366 > [  1350][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.371 > [  1356][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.377 > [  1362][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.382 > [  1367][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.387 > [  1373][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.393 > [  1378][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.398 > [  1384][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.404 > [  1390][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.410 > [  1396][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.416 > [  1401][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.422 > [  1407][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.427 > [  1412][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.432 > [  1418][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.438 > [  1424][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.443 > [  1430][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.448 > [  1435][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.455 > [  1441][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.460 > [  1446][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.465 > [  1452][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.472 > [  1458][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.477 > [  1464][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.482 > [  1469][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.488 > [  1475][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.494 > [  1480][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.499 > [  1486][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.505 > [  1492][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.510 > [  1498][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.515 > [  1503][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.521 > [  1509][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.526 > [  1514][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.537 > [  1520][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.537 > [  1525][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.548 > [  1531][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.555 > [  1537][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.560 > [  1543][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.566 > [  1548][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.571 > [  1554][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.577 > [  1560][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.582 > [  1566][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.587 > [  1571][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.593 > [  1577][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.598 > [  1582][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.605 > [  1588][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.610 > [  1593][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.616 > [  1599][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.621 > [  1605][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.626 > [  1611][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.632 > [  1616][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.638 > [  1622][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.643 > [  1627][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.649 > [  1634][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.655 > [  1639][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.660 > [  1645][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.666 > [  1650][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.671 > [  1656][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.677 > [  1661][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.682 > [  1667][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.688 > [  1673][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.693 > [  1679][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.699 > [  1684][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.705 > [  1690][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.710 > [  1695][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.716 > [  1702][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.721 > [  1707][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.727 > [  1713][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.732 > [  1718][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.738 > [  1724][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.744 > [  1729][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.749 > [  1735][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.754 > [  1741][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.760 > [  1747][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.765 > [  1752][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.771 > [  1758][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.777 > [  1763][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.782 > [  1770][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.788 > [  1775][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.794 > [  1781][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.799 > [  1786][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.805 > [  1792][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.810 > [  1797][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.816 > [  1803][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.821 > [  1809][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.832 > [  1815][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.832 > [  1820][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.843 > [  1826][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.849 > [  1831][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.855 > [  1838][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.860 > [  1843][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.866 > [  1849][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.871 > [  1854][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.876 > [  1860][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.882 > [  1865][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.888 > [  1871][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
